Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerV3,wranglerUnenv
*globals*,console._stderr.connect,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.connecting,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.cork,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.destroy,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.destroySoon,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.destroyed,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.drop,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.emit,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.end,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.errored,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.eventNames,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.every,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.fd,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.filter,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.find,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.flatMap,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.forEach,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.getMaxListeners,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.isPaused,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.iterator,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.listenerCount,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.listeners,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.localAddress,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.localFamily,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.localPort,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.map,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.off,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.on,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.once,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.pause,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.pending,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.pipe,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.prependListener,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
